MD,TVD,ROP,K,Pf,EffectiveLength
0,0,0,1,0,1
2292,2292,3.33333333333333,0.218150087260035,1031.4,1
2364,2364,3.33333333333333,0.211505922165821,1063.8,1
2648,2647.98,3.33340886317517,0.188823178422798,1191.591,1
2932,2931.96,3.33346976270383,0.170534386553705,1319.382,1
3216,3215.93,3.33355100450054,0.155476020933291,1447.1685,1
3501,3500.88,3.3336761160431,0.14282123351843,1575.396,1
3784,3783.85,3.3337297706826,0.132140544683325,1702.7325,1
4069,4068.83,3.33375116131552,0.122885448642484,1830.9735,1
4353,4352.82,3.33374687545902,0.114868062543363,1958.769,1
4637,4636.81,3.33374311459595,0.107832755709205,2086.5645,1
4912,4911.8,3.33374053261621,0.101795675719695,2210.31,1
5204,5203.77,3.33377534012044,0.096084185119634,2341.6965,1
5488,5487.71,3.33386181484096,0.091112686348222,2469.4695,1
5772,5771.58,3.33406108996894,0.08663139036451,2597.211,1
6057,6056.44,3.33425805442557,0.082556749509613,2725.398,1
6341,6340.28,3.33446905883133,0.078860870497833,2853.126,1
6625,6624.13,3.33464688585882,0.075481610415255,2980.8585,1
6720,6719.09,3.33468786683626,0.074414838914198,3023.5905,1
7002,7000.96,3.33481906457697,0.07141877685346,3150.432,1
7096,7094.93,3.33484167996517,0.070472858787895,3192.7185,1
7191,7189.93,3.33482174732971,0.069541706247488,3235.4685,1
7475,7473.92,3.33477856698609,25,3363.264,1
7758,7756.91,3.33473872952052,25,3490.6095,1
8039,8037.89,3.3347144834779,25,3617.0505,1
8321,8319.86,3.33470373645512,25,3743.937,1
8602,8600.82,3.33470548377823,0.058133991875193,3870.369,1
8882,8880.8,3.33468474554266,0.056301234123052,3996.36,1
9165,9163.77,3.33467575583323,0.054562696357504,4123.6965,1
9444,9442.74,3.33466786985202,0.052950732520434,4249.233,1
9724,9722.72,3.33465001068279,0.051425938420524,4375.224,1
10006,10004.69,3.33464289068797,0.049976560992894,4502.1105,1
10288,10286.68,3.3346167108578,0.048606547496374,4629.006,1
