MD Measured Depth (ft),TVD True Vertical Depth(ft),EWOFFSET,NSOFFSET,DIP,AZM,Back Pressure Pump (psi),Equivilant Circulating Pressure (mud psi),ROP (ft/hr),Time (days),ROP (m/sec),equivilant_length (m),K (ft/day),K (m/sec),kin viscosity (kg/(m*s),densityOil (kg/m3),dyn viscosity (m2/sec),Permeability_k (m2),Permeability_k (Millidarcy),Pressure (formation psi),Pressure (formation bar),Delta Pressure (psi),Dept Pressure (fresh water head ft),Flow Rate Incremental (ft3/day),Cumulative Flow Rate (ft3/day),Cumulative Flow Rate (bbl/day),"Over, Under, Normal Pressure Flag",Volume Change (ft3),Volume change (bbl),Cumulative change in pit volume (bbl),Rate of pit volume change bbl/hr,Cumulative Change of pit (bbl)
2292,2292.0,0.0,0.0,0.0,0.0,,1146.0,20.833333333333332,0.8680555555555555,0.0017638888888888888,0.2181500872600349,0.2181500872600349,7.695850300562342e-07,0.042,800,5.25e-05,5.149976556463254e-15,5.218213745836461,1031.4,71.11255464,-114.59999999999991,-49.62179999999996,-3.6083333333333303,-3.6083333333333303,-0.6494999999999994,Normal,-3.132233796296293,-0.5578758969907401,-0.5578758969907401,-0.6426730333333327,
2364,2364.0,-0.35,-0.24,0.68,235.55,,1182.0,20.833333333333332,1.736111111111111,0.0017638888888888888,0.21150592216582065,0.21150592216582065,7.461458920849783e-07,0.042,800,5.25e-05,4.9931244786014294e-15,5.059283377942965,1063.8,73.34645687999999,-118.20000000000005,-51.18060000000002,-3.6083333333333347,-7.216666666666665,377298538063004.0,Normal,-3.132233796296297,-0.5578758969907408,-1.115751793981481,-0.6426730333333335,-0.6426730333333335
2648,2647.98,-2.91,-1.26,0.47,266.9,,1323.99,20.833333333333332,2.6041666666666665,0.0017638888888888888,0.18882317842279775,0.18882317842279775,6.661262127693143e-07,0.042,800,5.25e-05,4.45764177501861e-15,4.516705528537666,1191.5910000000001,82.15733963160001,-132.3989999999999,-57.32876699999995,-3.60833333333333,-10.824999999999996,-1.9484999999999992,Normal,-3.132233796296293,-0.5578758969907401,-1.673627690972221,-0.6426730333333326,-1.285346066666666
2932,2931.96,-6.19,-0.97,0.87,279.48,,1465.98,20.833333333333332,3.472222222222222,0.0017638888888888888,0.1705343865537047,0.1705343865537047,6.016074192311249e-07,0.042,800,5.25e-05,4.025889257497981e-15,4.079232290159882,1319.382,90.9682223832,-146.59799999999996,-63.47693399999998,-3.6083333333333325,-14.433333333333328,-2.597999999999999,Normal,-3.132233796296295,-0.5578758969907405,-2.2315035879629614,-0.6426730333333331,-1.9280190999999993
3216,3215.93,-10.47,-0.12,0.89,282.76,,1607.965,20.833333333333332,4.340277777777778,0.0017638888888888888,0.15547602093329146,0.15547602093329146,5.484848516257781e-07,0.042,800,5.25e-05,3.670399003527371e-15,3.7190317903241574,1447.1685,99.7787948706,-160.79649999999992,-69.62488449999996,-3.6083333333333316,-18.04166666666666,-3.2474999999999987,Normal,-3.132233796296296,-0.5578758969907406,-2.789379484953702,-0.6426730333333329,-2.570692133333332
3501,3500.88,-15.56,0.2,1.18,266.79,,1750.44,20.833333333333332,5.208333333333333,0.0017638888888888888,0.14282123351842965,0.14282123351842965,5.038415738011268e-07,0.042,800,5.25e-05,3.3716512041011917e-15,3.416325582555577,1575.3960000000002,108.61977324960002,-175.04399999999987,-75.79405199999994,-3.6083333333333303,-21.64999999999999,-3.8969999999999985,Normal,-3.1322337962962927,-0.55787589699074,-3.347255381944442,-0.6426730333333327,-3.213365166666665
3784,3783.85,-19.97,0.15,0.61,274.21,,1891.925,20.833333333333332,6.076388888888888,0.0017638888888888888,0.13214054468332517,0.13214054468332517,4.6616247707728596e-07,0.042,800,5.25e-05,3.1195069221596462e-15,3.1608403888783028,1702.7325,117.399319317,-189.19249999999988,-81.92035249999995,-3.6083333333333307,-25.258333333333322,-4.546499999999998,Normal,-3.132233796296293,-0.5578758969907401,-3.905131278935182,-0.6426730333333328,-3.8560381999999978
4069,4068.83,-22.97,1.22,0.71,302.84,,2034.415,20.833333333333332,6.944444444444444,0.0017638888888888888,0.12288544864248445,0.12288544864248445,4.3351255493320904e-07,0.042,800,5.25e-05,2.901017311466387e-15,2.9394557908433554,1830.9735,126.2412284886,-203.4414999999999,-88.09016949999996,-3.6083333333333316,-28.866666666666653,-5.195999999999997,Normal,-3.132233796296294,-0.5578758969907404,-4.463007175925922,-0.642673033333333,-4.498711233333331
4353,4352.82,-24.93,3.23,0.47,335.34,,2176.41,20.833333333333332,7.812499999999999,0.0017638888888888888,0.1148680625433627,0.1148680625433627,4.052289984168628e-07,0.042,800,5.25e-05,2.71174692898254e-15,2.7476775757915943,1958.769,135.0524215044,-217.64099999999985,-94.23855299999994,-3.6083333333333307,-32.47499999999998,-5.845499999999996,Normal,-3.132233796296293,-0.5578758969907401,-5.0208830729166625,-0.6426730333333328,-5.141384266666663
4637,4636.81,-25.63,5.05,0.32,344.8,,2318.405,20.833333333333332,8.680555555555555,0.0017638888888888888,0.10783275570920524,0.10783275570920524,3.8040999930747407e-07,0.042,800,5.25e-05,2.5456609754149466e-15,2.5793909833392283,2086.5645000000004,143.86361452020003,-231.8404999999998,-100.3869364999999,-3.6083333333333294,-36.08333333333331,-6.494999999999995,Normal,-3.1322337962962954,-0.5578758969907406,-5.578758969907403,-0.6426730333333326,-5.784057299999996
